,Player,Appearances,0
338,,,Yaya Touré
339,,,70
340,,,Gianluca Zambrotta
341,,,70
342,,,Giovane Elber
343,,,69
344,,,Mario Götze
345,,,69
346,,,Saúl Ñíguez
347,,,69
348,,,Mesut Özil
349,,,69
350,,,Alexis Sánchez
351,,,69
352,,,Nicolas Anelka
353,,,68
354,,,Álvaro Arbeloa
355,,,68
356,,,Blaise Matuidi
357,,,68
358,,,Fernando Hierro
359,,,68
360,,,Wojciech Szczęsny
361,,,68
362,,,Nicky Butt
363,,,67
364,,,Martín Demichelis
365,,,67
366,,,Jens Lehmann
367,,,67
368,,,Jesús Navas
369,,,67
370,,,Gianluca Pessotto
371,,,67
372,,,Lilian Thuram
373,,,67
374,,,Kolo Touré
375,,,67
376,,,Gareth Bale
377,,,66
378,,,Alex
379,,,66
380,,,Emmanuel Eboué
381,,,66
382,,,Javi Martínez
383,,,66
384,,,Santiago Cañizares
385,,,65
386,,,Alessandro Costacurta
387,,,65
388,,,Hernán Crespo
389,,,65
390,,,Julian Draxler
391,,,65
392,,,Mateo Kovačić
393,,,65
394,,,José Bosingwa
395,,,64
396,,,João Félix
397,,,64
398,,,Diego Godín
399,,,64
400,,,Branislav Ivanović
401,,,64
402,,,Fredrik Ljungberg
403,,,64
404,,,Sadio Mané
405,,,64
406,,,Willy Sagnol
407,,,64
408,,,Júlio César
409,,,64
410,,,Wes Brown
411,,,63
412,,,Lucho González
413,,,63
414,,,Keylor Navas
415,,,63
416,,,Darijo Srna
417,,,63
418,,,Éric Abidal
419,,,62
420,,,Jörg Butt
421,,,62
422,,,Zé Roberto
423,,,62
424,,,Danilo
425,,,62
426,,,Predrag Djordjević
427,,,62
428,,,Emerson
429,,,62
430,,,Darren Fletcher
431,,,62
432,,,Tomáš Hübschman
433,,,62
434,,,Seydou Keita
435,,,62
436,,,Bixente Lizarazu
437,,,62
438,,,Jaap Stam
439,,,62
440,,,Daley Blind
441,,,61
442,,,Fabio Cannavaro
443,,,61
444,,,Grégory Coupet
445,,,61
446,,,Luisão
447,,,61
448,,,Daniele De Rossi
449,,,61
450,,,Didier Deschamps
451,,,61
452,,,Eden Hazard
453,,,61
454,,,João Moutinho
455,,,61
456,,,Roy Makaay
457,,,61
458,,,Kylian Mbappé
459,,,61
460,,,Antonis Nikopolidis
461,,,61
462,,,Roque Santa Cruz
463,,,61
464,,,Santiago Solari
465,,,61
466,,,Igor Akinfeev
467,,,60
468,,,Nani
469,,,60
470,,,Ricardo Quaresma
471,,,60
472,,,Dimitar Berbatov
473,,,60
474,,,Iván Córdoba
475,,,60
476,,,Ángel Correa
477,,,60
478,,,Jefferson Farfán
479,,,60
480,,,Erik Hoftun
481,,,60
482,,,Nwankwo Kanu
483,,,60
484,,,Mario Mandžukić
485,,,60
486,,,Adrien Rabiot
487,,,60
488,,,Lucas Moura
489,,,60
490,,,Maicon Sisenando
491,,,60
492,,,Juan Verón
493,,,60
