,Player,Club,Goals,0
274,,,,FC Shakhtar Donetsk
275,,,,8
276,,,,Willian
277,,,,Chelsea FC
278,,,,10
279,,,,John Carew
280,,,,Rosenborg BK
281,,,,5
282,,,,John Carew
283,,,,Valencia CF
284,,,,8
285,,,,John Carew
286,,,,Olympique Lyonnais
287,,,,5
288,,,,Andy Cole
289,,,,Manchester United FC
290,,,,18
291,,,,Ronaldinho
292,,,,FC Barcelona
293,,,,14
294,,,,Ronaldinho
295,,,,AC Milan
296,,,,4
297,,,,Paulo Dybala
298,,,,Juventus
299,,,,18
300,,,,Lucho González
301,,,,Olympique de Marseille
302,,,,5
303,,,,Lucho González
304,,,,FC Porto
305,,,,13
306,,,,Romelu Lukaku
307,,,,Manchester United FC
308,,,,7
309,,,,Romelu Lukaku
310,,,,Chelsea FC
311,,,,2
312,,,,Romelu Lukaku
313,,,,FC Internazionale Milano
314,,,,9
315,,,,Juninho Pernambucano
316,,,,Olympique Lyonnais
317,,,,18
318,,,,Franck Ribéry
319,,,,FC Bayern München
320,,,,18
321,,,,Javier Saviola
322,,,,FC Barcelona
323,,,,11
324,,,,Javier Saviola
325,,,,AS Monaco FC
326,,,,4
327,,,,Javier Saviola
328,,,,Málaga CF
329,,,,1
330,,,,Javier Saviola
331,,,,Olympiacos FC
332,,,,2
333,,,,Pierre-Emerick Aubameyang
334,,,,Borussia Dortmund
335,,,,15
336,,,,Pierre-Emerick Aubameyang
337,,,,Chelsea FC
338,,,,2
339,,,,Francesco Totti
340,,,,AS Roma
341,,,,17
342,,,,Hulk
343,,,,FC Porto
344,,,,7
345,,,,Hulk
346,,,,FC Zenit
347,,,,10
348,,,,Timo Werner
349,,,,Chelsea FC
350,,,,8
351,,,,Timo Werner
352,,,,RB Leipzig
353,,,,9
354,,,,Michael Ballack
355,,,,FC Bayern München
356,,,,3
357,,,,Michael Ballack
358,,,,Chelsea FC
359,,,,4
360,,,,Michael Ballack
361,,,,Bayer 04 Leverkusen
362,,,,9
363,,,,David Beckham
364,,,,Manchester United FC
365,,,,14
366,,,,David Beckham
367,,,,Real Madrid CF
368,,,,2
369,,,,Roberto Carlos
370,,,,Real Madrid CF
371,,,,16
372,,,,Guti
373,,,,Real Madrid CF
374,,,,16
375,,,,Dries Mertens
376,,,,SSC Napoli
377,,,,16
378,,,,Gerard Piqué
379,,,,Manchester United FC
380,,,,2
381,,,,Gerard Piqué
382,,,,FC Barcelona
383,,,,14
384,,,,Pedro Rodríguez
385,,,,FC Barcelona
386,,,,15
387,,,,Pedro Rodríguez
388,,,,Chelsea FC
389,,,,1
390,,,,Roberto Soldado
391,,,,Real Madrid CF
392,,,,1
393,,,,Roberto Soldado
394,,,,Valencia CF
395,,,,15
396,,,,Vinícius Júnior
397,,,,Real Madrid CF
398,,,,15
399,,,,Seydou Doumbia
400,,,,PFC CSKA Moskva
401,,,,13
402,,,,Seydou Doumbia
403,,,,FC Basel 1893
404,,,,1
405,,,,Seydou Doumbia
406,,,,Sporting Clube de Portugal
407,,,,1
408,,,,Iván Helguera
409,,,,Real Madrid CF
410,,,,15
411,,,,Simone Inzaghi
412,,,,SS Lazio
413,,,,15
414,,,,Pavel Nedvěd
415,,,,SS Lazio
416,,,,4
417,,,,Pavel Nedvěd
418,,,,Juventus
419,,,,11
420,,,,Sergio Ramos
421,,,,Real Madrid CF
422,,,,15
423,,,,Sergio Ramos
424,,,,Paris Saint-Germain
425,,,,0
426,,,,Alexis Sánchez
427,,,,FC Barcelona
428,,,,3
429,,,,Alexis Sánchez
430,,,,Arsenal FC
431,,,,9
432,,,,Alexis Sánchez
433,,,,Manchester United FC
434,,,,0
435,,,,Alexis Sánchez
436,,,,FC Internazionale Milano
437,,,,1
438,,,,Alexis Sánchez
439,,,,Olympique de Marseille
440,,,,2
441,,,,Rodrygo
442,,,,Real Madrid CF
443,,,,15
444,,,,Diego Tristán
445,,,,Real Club Deportivo La Coruña
446,,,,15
447,,,,Arturo Vidal
448,,,,Juventus
449,,,,9
450,,,,Arturo Vidal
451,,,,FC Bayern München
452,,,,5
453,,,,Arturo Vidal
454,,,,FC Barcelona
455,,,,0
456,,,,Arturo Vidal
457,,,,FC Internazionale Milano
458,,,,1
459,,,,Theo Walcott
460,,,,Arsenal FC
461,,,,15
462,,,,Sylvain Wiltord
463,,,,FC Girondins de Bordeaux
